"Зарядное устройство ДНІПРО-М, СB-12S","Вес (кг): 4.5
Гарантия (мес): 12
Напряжение питания сети (В): 220
Частота сети (Гц): 50
Мощность заряда (Вт): 180 (+ / - 10)
Минимальная емкость аккумуляторов (Ач): 20
Максимальная емкость аккумуляторов (Ач): 50
Напряжение АКБ (В): 12 / 24
Ток заряда, Min / Max (А): 4 / 5 (+ / - 1)","Зарядное устройство Днiпро-М СB-12S – самая компактная модель в линейке Торговой Марки. Благодаря портативному аппарату, можно подзаряжать аккумуляторы с емкостями 20-50 Ач. Главной особенностью зарядного устройства Днiпро-М СB-12S является возможность заряжать полностью разряженную батарею.
Аппарат работает от бытовой электросети в 220 В и имеет компактные размеры, что позволяет удобно хранить и транспортировать устройство. Днiпро-М СB-12S – простой в применении аппарат, а также легкий в транспортировке, так как оснащен удобной ручкой и весит всего 4,5 кг.","Защита от короткого замыкания 
Вес – 4,5 кг 
Защита от перегрузок 
Встроенный амперметр"
"Насос дренажный Дніпро-М НД-750П","Материал корпуса: пластик
Вес (кг): 4
Гарантия (мес): 6
Напряжение питания сети (В): 200
Мощность (Вт): 750
Количество оборотов (об / мин): 2860
Частота сети (Гц): 50
Давление (Бар): 0.7
Производительность (л / ч): 9900
Высота подачи воды (м): 10
Диаметр патрубка (мм): 40
Наличие поплавка: есть
Глубина погружения (м): 5
Диаметр твердых частиц (мм): 5","Дренажный насос НД-750П от Дніпро-М (для чистой воды) обладает достаточной мощностью и производительностью среди бытовых инструментов. Этот аппарат способен обеспечить водоснабжением ваш дом, с его помощью также можно откачивать воду из подвалов и земельных участков. 
С насосом НД-750П вы сможете за час выкачать жидкость в размере до 9900 литров. Высокие показатели продуктивности были достигнуты благодаря мощному двигателю, работающему от стандартной электрической сети 220 В. 
Насос Дніпро-М НД-750П весит всего 4 кг, поэтому он удобен как в эксплуатации, так и в транспортировке. Корпус инструмента выполнен из ударостойкого пластика, который снижает износ и предотвращает механические повреждения основных элементов. Подача воды насосом может осуществляться на высоту до 10 метров, а его пропускная способность частиц мусора составляет 0,5 см. ","• Мощность двигателя 750 В 
• Поплавковый выключатель 
• Высокая скорость перекачки жидкости – 185 л/час 
• Компактность и вес 4 кг 
• Защита от перегревов
• Возможность отслеживать уровень воды "
"Насос дренажный Дніпро-М НДА-1","Материал корпуса: алюминий
Вес (кг): 6.3
Гарантия (мес): 6
Напряжение питания сети (В): 220
Мощность (Вт): 2450
Количество оборотов (об / мин): 2860
Частота сети (Гц): 50
Производительность (л / ч): 8000
Высота подачи воды (м): 16
Диаметр патрубка (мм): 50
Наличие поплавка: нет
Глубина погружения (м): 5
Диаметр твердых частиц (мм): 3,5","Дренажный насос Дніпро-М НДА-1 применяется для откачки больших объёмов жидкости, регулирования уровня воды в водоемах, заборных резервуарах, так же отлично подходит для строительных котлованов с высоким содержанием песка и ила, водоснабжения строй площадок, или откачки грунтовых вод. Плюс используется в оросительных системах сельскохозяйственных угодий и теплиц. 
Одним из основных преимуществ аппарата является его возможность откачивать не только чистую воду, но и жидкости, загрязненные илом и мелкими камнями. Насос способен пропускать через себя твердые частицы диаметром до 3,5 мм. 
Дренажный насос НДА-1 от Дніпро-М имеет мощный двигатель в 2450 Вт. Благодаря ему, аппарат способен отсасывать до 8000 литров в час, количество оборотов в минуту составляет 2860 раз. Инструмент достаточно легкий (6,3 кг) и компактный, ведь его корпус изготовлен из алюминия. ","• Производительность до 8000 л/час 
• Пропускает твердые частицы диаметром до 3.5 мм 
• Высота подачи воды 16м 
• Компактные габариты и вес 6.3 кг 
• Алюминиевый корпус "
"Сварочные электроды Дніпро-М 3мм 1кг","Вес (кг): 1 кг 
Толщина: 3 мм",,
"Сварочные электроды Дніпро-М 3мм 2.5кг","Вес (кг): 2.5 кг
Толщина: 3 мм",,
"Зарядное устройство ДНІПРО-М, СB-16S","Вес (кг): 6 
Гарантия (мес): 12 
Напряжение питания сети (В): 220 
Частота сети (Гц): 50 
Мощность заряда (Вт): 240 (+ / - 10) 
Минимальная емкость аккумуляторов (Ач): 45 
Максимальная емкость аккумуляторов (Ач): 120 
Напряжение АКБ (В): 12 / 24 
Ток заряда, Min / Max (А): 9 / 12 (+ / - 1)","Надежное и стабильное зарядное устройство Днiпро-М СB-16S способно работать с любыми видами аккумуляторных батарей и отличается удобной конструкцией, многоуровневой системой защиты и встроенным амперметром. 
Зарядное устройство СB-16S от Днiпро-М способно работать как с 12 так и 24-вольтовыми аккумуляторами с емкостью от 45 до 120 Ач. Конструкция зарядного устройства проста и удобна, поэтому работать с аппаратом сможет даже новичок. 
Вес зарядного устройства данной модели составляет всего 6 кг, что позволяет ему быть достаточно мобильным и легко транспортируемым вручную или в багажнике автомобиля. Одним из дополнительных преимуществ зарядного устройства Днiпро-М СB-16S является устойчивость, ведь на нижней части аппарата расположены резиновые подставки, улучшающие сцепление с поверхностью. ","• Защита от короткого замыкания 
• Вес – 6 кг 
• Защита от перегрузок 
• Встроенный амперметр 
• Защита от неправильной полярности 
• В комплектации 2 зажима "
"Зарядное устройство ДНІПРО-М, СB-18S","Вес (кг): 7.5 
Гарантия (мес): 12 
Напряжение питания сети (В): 220 
Частота сети (Гц): 50 
Мощность заряда (Вт): 370 (+ / - 20) 
Минимальная емкость аккумуляторов (Ач): 70 
Максимальная емкость аккумуляторов (Ач): 140 
Напряжение АКБ (В): 12 / 24 
Ток заряда, Min / Max (А): 10 / 14 (+ / - 1)","Зарядное устройство для автомобильных аккумуляторов Днiпро-М СB-18S позволяет заряжать полностью разряженные аккумуляторы различных типов, а также упрощает запуск двигателя с разряженной батареей. 
Данная модель зарядного устройства легка в эксплуатации, пользоваться ей сможет даже любитель. Зарядное устройство Днiпро-М СB-18S предназначено для быстрой подзарядки аккумуляторов емкостью 70-140 Ач с напряжением 12 В и 24 В. 
Благодаря своему небольшому весу (7,5 кг), аппарат достаточно мобилен и легко транспортируется не только в автомобиле, но и вручную. Также, для удобства переноса инструмент оснащен ручкой на верхней панели, а компактные размеры сделали устройства также удобным в хранении и эксплуатации. ","• Защита от короткого замыкания 
• Вес – 7,5 кг 
• Защита от перегрузок 
• Встроенный амперметр 
• Защита от неправильной полярности 
• В комплектации 2 зажима "
"Зарядное устройство ДНІПРО-М, СB-20S","Вес (кг): 8 
Гарантия (мес): 12 
Напряжение питания сети (В): 220 
Частота сети (Гц): 50 
Мощность заряда (Вт): 500 (+ / - 30) 
Минимальная емкость аккумуляторов (Ач): 80 
Максимальная емкость аккумуляторов (Ач): 160 
Напряжение АКБ (В): 12 / 24 
Ток заряда, Min / Max (А): 12 / 16 (+ / - 1)","Зарядное устройство Дніпро-М CB-20S – портативный аппарат бытового класса, предназначенный для быстрой и качественной зарядки свинцово-кислотных аккумуляторов емкостью 80-160 Ач. Модель отличается встроенным амперметром, расположенным на передней панели, что позволяет контролировать процесс зарядки. 
Модель зарядного устройства Дніпро-М CB-20S используется для быстрой и удобной подзарядки аккумуляторов с напряжением 12 и 24 В. Компактные габариты и небольшой вес устройства 6.6 кг добавляют мобильности и универсальности прибору. Преимуществом модели является также должный уровень надежности и защите внутренних компонентов: от перегревов и неправильной полярности. 
Мощность зарядного устройства составляет 300 Вт, а наличие системы быстрого запуска упрощает работу с прибором. ","• Защита от перегревов и коротких замыканий 
• Встроенный амперметр 
• Защита от неправильной полярности 
• Вес 6.6 кг 
• 2 зажима "
"Зарядное устройство ДНІПРО-М, СB-30S","Вес (кг): 9 
Гарантия (мес): 12 
Напряжение питания сети (В): 220 
Частота сети (Гц): 50 
Мощность заряда (Вт): 650 (+ / - 10) 
Минимальная емкость аккумуляторов (Ач): 80 
Максимальная емкость аккумуляторов (Ач): 200 
Напряжение АКБ (В): 12 / 24 
Ток заряда, Min / Max (А): 16 / 20 (+ / - 1)","Зарядное устройство Дніпро-М CB-30S – самая мощная модель в линейке, способная быстро и эффективно заряжать аккумуляторные батареи емкостью до 200 Ач, с напряжением зарядки 12/24 В. Отличная мобильность достигнута благодаря компактному строению устройства и удобной ручке. Мощность заряда составляет 650 Вт, что позволяет за короткий срок полностью подзарядить разряженный аккумулятор.
Однофазное зарядное устройство Дніпро-М CB-30S предназначено для заряда свинцово-кислотных аккумуляторных батарей для авто. Аппарат способен восстанавливать работоспособность полностью разряженной батареи.
Безопасность модели обеспечивает комплексная защита уровня IP23, предотвращающая перегревы и короткие замыкания, а также защита от переполюсовки.
Устройство выгодно выделяется своей мощностью и стрелочным регулятором напряжения.","• Передаваемая мощность 80-200 Ач 
• Максимально эффективный ток 20 А 
• Встроенная система защиты от перегрева и короткого замыкания уровня IP23 
• Стрелочный индикатор силы тока 
• 2 кабеля в комплекте "
"Полуавтомат инверторный Дніпро-М MIG/MMA 195","Вес (кг): 15.5
Гарантия (мес): 24
Напряжение питания сети (В): 220
Номинальный сварочный ток (A): 20 - 195
Рабочий цикл (%): 60
Механизм подачи проволоки: встроенный
Скорость подачи проволоки (м / мин): 2.5 - 12
Диаметр ролика (мм): R<=200
Диаметр проволоки (мм): 0.8 / 1.0","Краткое описание
Сварочный полуавтомат Дніпро-М MIG/MMA 195 – механизированный сварочный аппарат, предназначенный для полуавтоматической дуговой сварки ответственных конструкций, к которым применяются повышенные требования относительно внешнего вида и качества сварочных работ: тонкостенных труб, тонколистовых изделий, кузова авто и т.д. 
Полное описание
Сварочный инверторный полуавтомат Дніпро-М MIG/MMA 195 отличается высокой скоростью подачи сварочной проволоки, низким разбрызгиванием металла, а также легкостью и универсальностью в эксплуатации. Отлично подходит для работы с низкоуглеродистыми, легированными и нержавеющими типами стали. 
Аппарат работает от бытовой электросети и потребляет до 6 кВт мощности, также инструмент удобно перемещать благодаря его относительно небольшому весу (15,5 кг) как для универсальных полуавтоматических инверторов. 
Основным преимуществом модели MIG/MAG 195 является объединенная конструкция механизма подачи проволоки и выпрямителя тока, что делает аппарат простым и комфортным в эксплуатации. Сварочный ток выставляется в диапазонах 20-195А, проволоку можно использовать диаметром 0,8-1 мм.","• Скорость подачи проволоки до 12м/мин 
• Возможность работы электродом 4 мм 
• Мощность 6 кВт 
• Качественный точный сварочный шов 
• Механизм подачи проволоки объединен с выпрямителем тока "
